common_name, common_name_regex, scientific_name, scientific_name_regex
Pale-legged Leaf Warbler,^Pale-legged Leaf Warbler$,Phylloscopus tenellipes,^Phylloscopus tenellipes
Arctic Warbler,^Arctic Warbler$,Phylloscopus borealis,^Phylloscopus borealis
Great Reed Warbler,^Great Reed Warbler$,Acrocephalus arundinaceus,^Acrocephalus arundinaceus
Aquatic Warbler,^Aquatic Warbler$,Acrocephalus paludicola,^Acrocephalus paludicola
Sedge Warbler,^Sedge Warbler$,Acrocephalus schoenobaenus,^Acrocephalus schoenobaenus
Paddyfield Warbler,^Paddyfield Warbler$,Acrocephalus agricola,^Acrocephalus agricola
Blyth's Reed Warbler,^Blyth's Reed Warbler$,Acrocephalus dumetorum,^Acrocephalus dumetorum
Reed Warbler,^(Common|Eurasian)?\s?Reed(-|\s)Warbler,Acrocephalus scirpaceus,^Acrocephalus scirpaceus
Marsh Warbler,^Marsh Warbler$,Acrocephalus palustris,^Acrocephalus palustris
Thick-billed Warbler,^Thick-billed Warbler$,Arundinax aedon,^Arundinax aedon
Booted Warbler,^Booted Warbler$,Iduna caligata,^Iduna caligata
Sykes's Warbler,^Sykes's Warbler$,Iduna rama,^Iduna rama
Eastern Olivaceous Warbler,^Eastern Olivaceous Warbler$,Iduna pallida,^Iduna pallida
Olive-tree Warbler,^Olive-tree Warbler$,Hippolais olivetorum,^Hippolais olivetorum
Melodious Warbler,^Melodious Warbler$,Hippolais polyglotta,^Hippolais polyglotta
Icterine Warbler,^Icterine Warbler$,Hippolais icterina,^Hippolais icterina
Pallas's Grasshopper Warbler,^Pallas's Grasshopper Warbler$,Helopsaltes certhiola,^Helopsaltes certhiola
Lanceolated Warbler,^Lanceolated Warbler$,Locustella lanceolata,^Locustella lanceolata
River Warbler,^River Warbler$,Locustella fluviatilis,^Locustella fluviatilis
Savi's Warbler,^Savi's Warbler$,Locustella luscinioides,^Locustella luscinioides
Grasshopper Warbler,^(Common )?Grasshopper(-|\s)Warbler$,Locustella naevia,^Locustella naevia
Fan-tailed Warbler,^Fan-tailed Warbler$|^Zitting Cisticola$,Cisticola juncidis,^Cisticola juncidis
Blackcap,^(Eurasian )?Blackcap,Sylvia atricapilla,^Sylvia atricapilla
Garden Warbler,^Garden Warbler,Sylvia borin,^Sylvia borin
Barred Warbler,^Barred Warbler$,Curruca nisoria,^Curruca nisoria
Lesser Whitethroat,^Lesser Whitethroat(?!.*(Siberian)),Curruca curruca,^(Curruca|Sylvia) curruca(?!.*(blythi))
Western Orphean Warbler,^Western Orphean Warbler$,Curruca hortensis,^Curruca hortensis
Eastern Orphean Warbler,^Eastern Orphean Warbler$,Curruca crassirostris,^Curruca crassirostris
Asian Desert Warbler,^Asian Desert Warbler$,Curruca nana,^Curruca nana
Rüppell's Warbler,^Rüppell's Warbler$,Curruca ruppeli,^Curruca ruppeli
Sardinian Warbler,^Sardinian Warbler$,Curruca melanocephala,^Curruca melanocephala
Western Subalpine Warbler,^Western Subalpine Warbler$,Curruca iberiae,^Curruca iberiae
Moltoni's Subalpine Warbler,^Moltoni's Subalpine Warbler$|^Moltoni's Warbler$,Curruca subalpina,^Curruca subalpina
Eastern Subalpine Warbler,^Eastern Subalpine Warbler$,Curruca cantillans,^Curruca cantillans
Whitethroat,^(Common |Greater )?Whitethroat,Curruca communis,^Curruca communis
Spectacled Warbler,^Spectacled Warbler$,Curruca conspicillata,^Curruca conspicillata
Marmora's Warbler,^Marmora's Warbler$,Curruca sarda,^Curruca sarda
Dartford Warbler,^Dartford Warbler$,Curruca undata,^Curruca undata
Ruby-crowned Kinglet,^Ruby-crowned Kinglet$,Corthylio calendula,^Corthylio calendula
Firecrest,^Firecrest$|^Common Firecrest$,Regulus ignicapilla,^Regulus ignicapilla
Goldcrest,^Goldcrest,Regulus regulus,^Regulus regulus
Wren,^(Eurasian )?Wren,Troglodytes troglodytes,^Troglodytes troglodytes
Red-breasted Nuthatch,^Red-breasted Nuthatch$,Sitta canadensis,^Sitta canadensis
Nuthatch,^(Eurasian )?Nuthatch,Sitta europaea,^Sitta europaea
Wallcreeper,^Wallcreeper$,Tichodroma muraria,^Tichodroma muraria
Treecreeper,^(Eurasian )?Treecreeper,Certhia familiaris,^Certhia familiaris
Short-toed Treecreeper,^Short-toed Treecreeper$,Certhia brachydactyla,^Certhia brachydactyla
Grey Catbird,^Grey Catbird$,Dumetella carolinensis,^Dumetella carolinensis
Northern Mockingbird,^Northern Mockingbird$,Mimus polyglottos,^Mimus polyglottos
Brown Thrasher,^Brown Thrasher$,Toxostoma rufum,^Toxostoma rufum
Rose-coloured Starling,^Rose-coloured Starling$|^Rosy Starling$,Pastor roseus,^Pastor roseus
Starling,^(Common |European )?Starling,Sturnus vulgaris,^Sturnus vulgaris
Varied Thrush,^Varied Thrush$,Ixoreus naevius,^Ixoreus naevius
Wood Thrush,^Wood Thrush$,Hylocichla mustelina,^Hylocichla mustelina
Swainson's Thrush,^Swainson's Thrush$,Catharus ustulatus,^Catharus ustulatus
Hermit Thrush,^Hermit Thrush$,Catharus guttatus,^Catharus guttatus
Grey-cheeked Thrush,^Grey-cheeked Thrush$,Catharus minimus,^Catharus minimus
Veery,^Veery$,Catharus fuscescens,^Catharus fuscescens
White's Thrush,^White's Thrush$,Zoothera aurea,^Zoothera aurea
Siberian Thrush,^Siberian Thrush$,Geokichla sibirica,^Geokichla sibirica
Song Thrush,^Song Thrush,Turdus philomelos,^Turdus philomelos
Mistle Thrush,^Mistle Thrush,Turdus viscivorus,^Turdus viscivorus
Redwing,^Redwing,Turdus iliacus,^Turdus iliacus
Blackbird,^(Common |Eurasian )?Blackbird,Turdus merula,^Turdus merula
Eyebrowed Thrush,^Eyebrowed Thrush$,Turdus obscurus,^Turdus obscurus
Fieldfare,^Fie(l)?dfare$,Turdus pilaris,^Turdus pilaris
Ring Ouzel,^Ring Ouzel$,Turdus torquatus,^Turdus torquatus
Black-throated Thrush,^Black-throated Thrush$,Turdus atrogularis,^Turdus atrogularis
Red-throated Thrush,^Red-throated Thrush$,Turdus ruficollis,^Turdus ruficollis
Dusky Thrush,^Dusky Thrush$,Turdus eunomus,^Turdus eunomus
Naumann's Thrush,^Naumann's Thrush$,Turdus naumanni,^Turdus naumanni
American Robin,^American Robin$,Turdus migratorius,^Turdus migratorius
Rufous-tailed Scrub Robin,^Rufous-tailed Scrub Robin$,Cercotrichas galactotes,^Cercotrichas galactotes
Spotted Flycatcher,^Spotted Flycatcher,Muscicapa striata,^Muscicapa striata
Asian Brown Flycatcher,^Asian Brown Flycatcher$,Muscicapa dauurica,^Muscicapa dauurica
Robin,^(European )?Robin,Erithacus rubecula,^Erithacus rubecula
Siberian Blue Robin,^Siberian Blue Robin$,Larvivora cyane,^Larvivora cyane
Rufous-tailed Robin,^Rufous-tailed Robin$,Larvivora sibilans,^Larvivora sibilans
Bluethroat,^Bluethroat$,Luscinia svecica,^Luscinia svecica
Thrush Nightingale,^Thrush Nightingale$,Luscinia luscinia,^Luscinia luscinia
Nightingale,^Nightingale$|^Common Nightingale$,Luscinia megarhynchos,^Luscinia megarhynchos
White-throated Robin,^White-throated Robin$,Irania gutturalis,^Irania gutturalis
Siberian Rubythroat,^Siberian Rubythroat$,Calliope calliope,^Calliope calliope
Red-flanked Bluetail,^Red-flanked Bluetail$,Tarsiger cyanurus,^Tarsiger cyanurus
Taiga Flycatcher,^Taiga Flycatcher$,Ficedula albicilla,^Ficedula albicilla
Red-breasted Flycatcher,^Red-breasted Flycatcher$,Ficedula parva,^Ficedula parva
Pied Flycatcher,^Pied Flycatcher$|^European Pied Flycatcher$,Ficedula hypoleuca,^Ficedula hypoleuca
Collared Flycatcher,^Collared Flycatcher$,Ficedula albicollis,^Ficedula albicollis
Black Redstart,^Black Redstart$,Phoenicurus ochruros,^Phoenicurus ochruros
Redstart,^Redstart$|^Common Redstart$,Phoenicurus phoenicurus,^Phoenicurus phoenicurus
Moussier's Redstart,^Moussier's Redstart$,Phoenicurus moussieri,^Phoenicurus moussieri
Rock Thrush,^Rock Thrush$|^Common Rock Thrush$,Monticola saxatilis,^Monticola saxatilis
Blue Rock Thrush,^Blue Rock Thrush$,Monticola solitarius,^Monticola solitarius
Whinchat,^Whinchat$,Saxicola rubetra,^Saxicola rubetra
Stonechat,^(European )?Stonechat,Saxicola rubicola,^Saxicola rubicola
Siberian Stonechat,^Siberian Stonechat$,Saxicola maurus,^Saxicola maurus
Amur Stonechat,^Amur Stonechat$,Saxicola stejnegeri,^Saxicola stejnegeri
Wheatear,^(Northern )?Wheatear,Oenanthe oenanthe,^Oenanthe oenanthe
Isabelline Wheatear,^Isabelline Wheatear$,Oenanthe isabellina,^Oenanthe isabellina
Desert Wheatear,^Desert Wheatear$,Oenanthe deserti,^Oenanthe deserti
Western Black-eared Wheatear,^Western Black-eared Wheatear$,Oenanthe hispanica,^Oenanthe hispanica
Eastern Black-eared Wheatear,^Eastern Black-eared Wheatear$,Oenanthe melanoleuca,^Oenanthe melanoleuca
Pied Wheatear,^Pied Wheatear$,Oenanthe pleschanka,^Oenanthe pleschanka
White-crowned Black Wheatear,^White-crowned Black Wheatear$|^White-crowned Wheatear$,Oenanthe leucopyga,^Oenanthe leucopyga
Dipper,^Dipper$|^White-throated Dipper$,Cinclus cinclus,^Cinclus cinclus
Rock Sparrow,^Rock Sparrow$,Petronia petronia,^Petronia petronia
Tree Sparrow,^(Eurasian )?Tree Sparrow$,Passer montanus,^Passer montanus
Spanish Sparrow,^Spanish Sparrow$,Passer hispaniolensis,^Passer hispaniolensis
House Sparrow,^House Sparrow,Passer domesticus,^Passer domesticus
Alpine Accentor,^Alpine Accentor$,Prunella collaris,^Prunella collaris
Siberian Accentor,^Siberian Accentor$,Prunella montanella,^Prunella montanella
Dunnock,^Dunnock,Prunella modularis,^Prunella modularis
Yellow Wagtail,^(Western )?Yellow Wagtail(\s\(.*\))?$,Motacilla flava,^Motacilla flava$
Eastern Yellow Wagtail,^Eastern Yellow Wagtail$,Motacilla tschutschensis,^Motacilla tschutschensis
Citrine Wagtail,^Citrine Wagtail$,Motacilla citreola,^Motacilla citreola
Grey Wagtail,^Gr(e|a)y Wagtail,Motacilla cinerea,^Motacilla cinerea$
Pied Wagtail,^Pied Wagtail,Motacilla alba,^motacilla alba(?!\s+alba(?:\s|$)).*$
Richard's Pipit,^Richard's Pipit$,Anthus richardi,^Anthus richardi$
Blyth's Pipit,^Blyth's Pipit$,Anthus godlewskii,^Anthus godlewskii$
Tawny Pipit,^Tawny Pipit$,Anthus campestris,^Anthus campestris$
Meadow Pipit,^Meadow Pipit$,Anthus pratensis,^Anthus pratensis
Tree Pipit,^Tree Pipit,Anthus trivialis,^Anthus trivialis
Olive-backed Pipit,^Olive-backed Pipit$,Anthus hodgsoni,^Anthus hodgsoni
Pechora Pipit,^Pechora Pipit$,Anthus gustavi,^Anthus gustavi
Red-throated Pipit,^Red-throated Pipit$,Anthus cervinus,^Anthus cervinus
Buff-bellied Pipit,^Buff-bellied Pipit$,Anthus rubescens,^Anthus rubescens
Water Pipit,^Water Pipit,Anthus spinoletta,^Anthus spinoletta$
Rock Pipit,^(\bEuropean\b)?\s?\bRock Pipit\b,Anthus petrosus,^Anthus petrosus$
Chaffinch,^(Eurasian|Common)?\s?Chaffinch,Fringilla coelebs,^Fringilla coelebs
Brambling,^Brambling$,Fringilla montifringilla,^Fringilla montifringilla
Evening Grosbeak,^Evening Grosbeak$,Hesperiphona vespertina,^Hesperiphona vespertina
Hawfinch,^\bHawfinch\b,Coccothraustes coccothraustes,^Coccothraustes coccothraustes
Pine Grosbeak,^Pine Grosbeak$,Pinicola enucleator,^Pinicola enucleator
Bullfinch,^(Eurasian )?Bullfinch,Pyrrhula pyrrhula,^Pyrrhula pyrrhula
Trumpeter Finch,^Trumpeter Finch$,Bucanetes githagineus,^Bucanetes githagineus
Common Rosefinch,^Common Rosefinch$,Carpodacus erythrinus,^Carpodacus erythrinus
Greenfinch,^(European )?Green(\s)?finch,Chloris chloris,^Chloris chloris
Twite,^Twite,Linaria flavirostris,^Linaria flavirostris
Linnet,^(Common |Eurasian )?\bLinnet\b,Linaria cannabina,^Linaria cannabina
