siteName,regex,matchName
Bourne,^(?!.*Gedney).*\bDyke\b,Dyke
Bourne,Elsea Park,Elsea Park
Bourne,(?=.*(Math))(?=.*(Woods?)),Math Wood
Bourne,Toft Tunnels?,Toft Tunnels
Braceborough,\bBraceborough\b,Braceborough
Bracebridge,\bBracebridge\b,Bracebridge
Bracebridge,Lincoln 17,Lincoln 17
Braceby,\bBraceby\b,Braceby
Brackenborough,\bBrackenborough\b,Brackenborough
Bradley,\bBradley\b,Bradley
Brampton,\bBrampton\b,Brampton
Brandon,\bBrandon\b,Brandon
Bransby,\bBransby\b,Bransby
Branston,Ashfield Farm,Ashfield Farm
Branston,\bBranston\b,Branston
Branston,(Folly|Hall) Lane,Folly/Hall Lane
Branston,Hare Wood,Hare Wood
Branston,Longhills,Longhills Hall
Branston,Mere\s?Hall,"Mere Hall Farm , Branston"
Brant Broughton,Brant Broughton,Brant Broughton
Bratoft,\bBratoft\b,Bratoft
Bratoft,Heath'?s Meadows?,Heath's Meadows
Brattleby,\bBrattleby\b,Brattleby
Brauncewell,\bBrauncewell\b,Brauncewell
Brigg,^(?!.*Worlaby).*\bBrigg\b,Brigg
Brigsley,\bBrigsley\b,Brigsley
Brinkhill,\bBrinkhill\b,Brinkhill
Broadholme,\bBroadholme\b,Broadholme
Brocklesby,\bBrocklesby\b,Brocklesby
Brocklesby,Roxton Woods?,Roxton Woods
Brookenby,\bBrookenby\b,Brookenby
Brookenby,RAF Binbrook,RAF Binbrook
Brothertoft,\bBrothertoft\b,Brothertoft
Brothertoft,Kirton Drove,Kirton Drove
Broughton,^(?!.*Brant).*\bBroughton\b,Broughton
Broughton,East Wood,East Wood
Broughton,Far Wood,Far Wood
Broughton,Forest Pines,Forest Pines
Broughton,\bGokewell\b,Gokewell Priory Farm
Broughton,Lundimore Wood,Lundimore Wood
Broughton,Manby Wood,Manby Wood
Broughton,\bWressle\b,Wressle
Broxholme,\bBroxholme\b,Broxholme
Bucknall,\bBucknall\b,Bucknall
Bulby,\bBulby\b,Bulby
Bullington,\bBullington\b,Bullington
Bullington,Cocklode Wood,Cocklode Wood
Burgh le Marsh,Burgh le Marsh,Burgh le Marsh
Burgh le Marsh,Burgh Marsh,Burgh Marsh
Burgh on Bain,Burgh(\s|-)on(\s|-)Bain,Burgh on Bain
Burnham,\bBurnham\b,Burnham
Burringham,\bBurringham\b,Burringham
Burton by Lincoln,Burton (Gravel)? Pits,Webs Burton Gravel Pits Lincoln
Burton by Lincoln,Burton Waters,Burton Waters
Burton by Lincoln,Burton(-|\s)by(-|\s)Lincoln,Burton-by-Lincoln
Burton by Lincoln,\bOdder\b,Odder
Burton Coggles,Burton(-|\s)?(le)?(-|\s)?Coggles,Burton Le Coggles
Burton Coggles,Sleight'?s Wood,Sleight's Wood
Burton Pedwardine,Burton Gorse,Burton Gorse
Burton Pedwardine,Burton Pedwardine,Burton Pedwardine
